mquick, 300, 2581, 2024, 0.000030
select, 300, 44850, 300, 0.000283
insert, 300, 23261, 23268, 0.000165
heap, 300, 4048, 2225, 0.000069
quick, 300, 3183, 1549, 0.000040
mquick, 300, 2519, 1822, 0.000031
select, 400, 79800, 400, 0.000522
insert, 400, 40840, 40848, 0.000224
heap, 400, 5683, 3105, 0.000070
quick, 400, 3865, 2188, 0.000044
mquick, 400, 3802, 2968, 0.000050
select, 400, 79800, 400, 0.000441
insert, 400, 37348, 37351, 0.000260
heap, 400, 5734, 3152, 0.000103
quick, 400, 3727, 1873, 0.000049
mquick, 400, 3669, 2835, 0.000045
select, 400, 79800, 400, 0.000593
insert, 400, 40033, 40036, 0.000295
heap, 400, 5708, 3131, 0.000099
quick, 400, 3338, 2002, 0.000051
mquick, 400, 3560, 2636, 0.000047
select, 400, 79800, 400, 0.000600
insert, 400, 39544, 39547, 0.000293
heap, 400, 5714, 3120, 0.000100
quick, 400, 3798, 2018, 0.000054
mquick, 400, 3980, 3214, 0.000052
select, 400, 79800, 400, 0.000599
insert, 400, 39392, 39396, 0.000293
heap, 400, 5724, 3135, 0.000101
quick, 400, 3862, 2202, 0.000055
mquick, 400, 4175, 2921, 0.000054
select, 400, 79800, 400, 0.000601
insert, 400, 41809, 41814, 0.000309
heap, 400, 5695, 3103, 0.000099
quick, 400, 3670, 2005, 0.000052
mquick, 400, 3621, 2672, 0.000048
select, 400, 79800, 400, 0.000603
insert, 400, 41005, 41010, 0.000357
heap, 400, 5689, 3105, 0.000100
quick, 400, 3621, 2176, 0.000054
mquick, 400, 3516, 2475, 0.000047
select, 400, 79800, 400, 0.000600
insert, 400, 39708, 39715, 0.000295
heap, 400, 5720, 3124, 0.000098
quick, 400, 3476, 1971, 0.000051
mquick, 400, 3624, 2840, 0.000048
select, 400, 79800, 400, 0.000603
insert, 400, 39652, 39657, 0.000295
heap, 400, 5683, 3100, 0.000099
quick, 400, 3470, 2069, 0.000054
mquick, 400, 3667, 2583, 0.000047
select, 400, 79800, 400, 0.000602
insert, 400, 39753, 39758, 0.000296
heap, 400, 5694, 3117, 0.000097
quick, 400, 3594, 2026, 0.000054
mquick, 400, 3733, 3007, 0.000050
select, 500, 124750, 500, 0.000942
insert, 500, 63768, 63777, 0.000472
heap, 500, 7447, 4046, 0.000126
quick, 500, 4897, 2646, 0.000067
mquick, 500, 4563, 3461, 0.000062
select, 500, 124750, 500, 0.000945
insert, 500, 63638, 63643, 0.000472
heap, 500, 7411, 4036, 0.000129
quick, 500, 4786, 3099, 0.000070
mquick, 500, 4692, 3513, 0.000063
select, 500, 124750, 500, 0.000932
insert, 500, 62350, 62360, 0.000461
heap, 500, 7382, 4019, 0.000128
quick, 500, 4700, 2583, 0.000082
mquick, 500, 4797, 3733, 0.000064
select, 500, 124750, 500, 0.000932
insert, 500, 64362, 64365, 0.000484
heap, 500, 7429, 4032, 0.000128
quick, 500, 4925, 3302, 0.000071
mquick, 500, 4639, 3381, 0.000061
select, 500, 124750, 500, 0.000939
insert, 500, 62235, 62237, 0.000467
heap, 500, 7428, 4046, 0.000130
quick, 500, 4567, 2601, 0.000066
mquick, 500, 4997, 3694, 0.000064
select, 500, 124750, 500, 0.000953
insert, 500, 64750, 64758, 0.000423
heap, 500, 7439, 4039, 0.000103
quick, 500, 5020, 2601, 0.000058
